Origin,Destination,Count,Other Direction,Total Moves,Ratio,Job Move
11-2021.00,11-9199.02,2,3,5,0.4,Lateral
11-2021.00,13-1111.00,59,876,935,0.06310160427807486,Demotion
11-2021.00,13-1141.00,1,0,1,1.0,Promotion
11-2021.00,13-1161.00,21,63,84,0.25,Demotion
11-2021.00,13-2011.01,29,110,139,0.20863309352517986,Demotion
11-2021.00,13-2011.02,27,159,186,0.14516129032258066,Demotion
11-2021.00,13-2041.00,1,0,1,1.0,Promotion
11-2021.00,15-1121.00,11,64,75,0.14666666666666667,Demotion
11-2021.00,15-1122.00,6,15,21,0.2857142857142857,Demotion
11-2021.00,15-1199.10,1,2,3,0.3333333333333333,Demotion
11-2021.00,15-2031.00,3,19,22,0.13636363636363635,Demotion
11-2021.00,43-3031.00,9,11,20,0.45,Lateral
11-9199.02,11-2021.00,3,2,5,0.6,Lateral
11-9199.02,13-2011.02,1,10,11,0.09090909090909091,Demotion
11-9199.02,15-1122.00,1,1,2,0.5,Lateral
13-1041.00,11-2021.00,1,0,1,1.0,Promotion
13-1041.00,11-9199.02,1,0,1,1.0,Promotion
13-1041.00,13-2051.00,2,1,3,0.6666666666666666,Lateral
13-1041.00,13-2061.00,1,1,2,0.5,Lateral
13-1051.00,13-1111.00,3,0,3,1.0,Promotion
13-1051.00,13-1161.00,1,0,1,1.0,Promotion
13-1051.00,15-1121.00,1,0,1,1.0,Promotion
13-1111.00,11-2021.00,876,59,935,0.9368983957219251,Promotion
13-1111.00,11-9199.02,6,0,6,1.0,Promotion
13-1111.00,13-1141.00,1,8,9,0.1111111111111111,Demotion
13-1111.00,13-1161.00,65,62,127,0.5118110236220472,Lateral
13-1111.00,13-1199.01,1,1,2,0.5,Lateral
13-1111.00,13-2011.01,81,173,254,0.3188976377952756,Demotion
13-1111.00,13-2011.02,157,290,447,0.3512304250559284,Demotion
13-1111.00,13-2041.00,1,1,2,0.5,Lateral
13-1111.00,13-2051.00,20,47,67,0.29850746268656714,Demotion
13-1111.00,13-2061.00,2,0,2,1.0,Promotion
13-1111.00,13-2099.02,2,10,12,0.16666666666666666,Demotion
13-1111.00,15-1121.00,271,361,632,0.4287974683544304,Lateral
13-1111.00,15-1122.00,74,49,123,0.6016260162601627,Lateral
13-1111.00,15-1199.08,4,1,5,0.8,Promotion
13-1111.00,15-2031.00,21,87,108,0.19444444444444445,Demotion
13-1111.00,43-3031.00,14,32,46,0.30434782608695654,Demotion
13-1141.00,13-1111.00,8,1,9,0.8888888888888888,Promotion
13-1141.00,13-2011.01,4,1,5,0.8,Promotion
13-1141.00,15-1121.00,1,0,1,1.0,Promotion
13-1161.00,11-2021.00,63,21,84,0.75,Promotion
13-1161.00,13-1111.00,62,65,127,0.4881889763779528,Lateral
13-1161.00,13-1141.00,1,0,1,1.0,Promotion
13-1161.00,13-1199.01,1,2,3,0.3333333333333333,Demotion
13-1161.00,13-2011.01,10,6,16,0.625,Lateral
13-1161.00,13-2011.02,17,18,35,0.4857142857142857,Lateral
13-1161.00,13-2051.00,6,4,10,0.6,Lateral
13-1161.00,15-1121.00,4,15,19,0.21052631578947367,Demotion
13-1161.00,15-1122.00,2,4,6,0.3333333333333333,Demotion
13-1161.00,15-1199.10,1,0,1,1.0,Promotion
13-1161.00,15-2031.00,2,3,5,0.4,Lateral
13-1161.00,43-3031.00,6,1,7,0.8571428571428571,Promotion
