Origin,Destination,Count,Other Direction,Total Moves,Ratio,Job Move
11-2021.00,13-1111.00,24,203,227,0.10572687224669604,Demotion
11-2021.00,13-1161.00,10,22,32,0.3125,Demotion
11-2021.00,13-2011.01,29,174,203,0.14285714285714285,Demotion
11-2021.00,13-2011.02,18,187,205,0.08780487804878048,Demotion
11-2021.00,13-2099.04,1,1,2,0.5,Lateral
11-2021.00,15-1121.00,3,19,22,0.13636363636363635,Demotion
11-2021.00,43-3031.00,1,3,4,0.25,Demotion
11-9199.02,11-2021.00,2,0,2,1.0,Promotion
11-9199.02,13-1111.00,1,0,1,1.0,Promotion
11-9199.02,13-2011.01,1,3,4,0.25,Demotion
11-9199.02,13-2011.02,1,4,5,0.2,Demotion
13-1031.02,13-2011.02,2,0,2,1.0,Promotion
13-1031.02,13-2099.04,1,0,1,1.0,Promotion
13-1031.02,15-1122.00,1,0,1,1.0,Promotion
13-1041.00,13-2011.01,1,0,1,1.0,Promotion
13-1111.00,11-2021.00,203,24,227,0.8942731277533039,Promotion
13-1111.00,13-1161.00,18,27,45,0.4,Lateral
13-1111.00,13-2011.01,37,95,132,0.2803030303030303,Demotion
13-1111.00,13-2011.02,102,179,281,0.36298932384341637,Lateral
13-1111.00,13-2041.00,1,1,2,0.5,Lateral
13-1111.00,13-2051.00,24,43,67,0.3582089552238806,Demotion
13-1111.00,13-2099.02,4,6,10,0.4,Lateral
13-1111.00,13-2099.04,1,0,1,1.0,Promotion
13-1111.00,15-1121.00,33,31,64,0.515625,Lateral
13-1111.00,15-1122.00,21,7,28,0.75,Promotion
13-1111.00,15-1199.08,4,1,5,0.8,Promotion
13-1111.00,15-2031.00,3,9,12,0.25,Demotion
13-1111.00,43-3031.00,1,4,5,0.2,Demotion
13-1141.00,13-1111.00,1,0,1,1.0,Promotion
13-1141.00,13-2011.01,1,0,1,1.0,Promotion
13-1141.00,15-1121.00,1,0,1,1.0,Promotion
13-1161.00,11-2021.00,22,10,32,0.6875,Lateral
13-1161.00,13-1111.00,27,18,45,0.6,Lateral
13-1161.00,13-2011.01,21,8,29,0.7241379310344828,Lateral
13-1161.00,13-2011.02,15,8,23,0.6521739130434783,Lateral
13-1161.00,13-2051.00,6,5,11,0.5454545454545454,Lateral
13-1161.00,15-1121.00,1,2,3,0.3333333333333333,Demotion
13-1161.00,15-1122.00,1,2,3,0.3333333333333333,Demotion
13-1161.00,15-1199.08,1,0,1,1.0,Promotion
13-1161.00,15-2031.00,1,1,2,0.5,Lateral
13-2011.00,11-2021.00,1,0,1,1.0,Promotion
